media_group_id,country,project,media_article_0,media_article_1,media_article_2,media_article_3,media_article_4,media_article_5,media_article_6,media_article_7,media_article_8,media_article_9,media_article_10,media_article_11,media_article_12,media_article_13,media_article_14,media_article_15,media_article_16,media_article_17,media_article_18,media_article_19,media_article_20,media_article_21,media_article_22,media_article_23,media_article_24,media_article_25,media_article_26,media_article_27,media_article_28,media_article_29,media_article_30,media_label_0,media_label_1,media_label_2,media_label_3,media_label_4,media_label_5,media_label_6,media_label_7,media_label_8,media_label_9,media_label_10,media_label_11,media_label_12,media_label_13,media_label_14,media_label_15,media_label_16,media_label_17,media_label_18,media_label_19,media_label_20,media_label_21,media_label_22,media_label_23,media_label_24
kmeans_plain_c1_g17,1,media,Dentsu Aegis Network,BBC Store,BBC,Deutsche Welle,Haymarket Media Group,Al Arabiya,Press Holdings,Interfax,RTL Group,Al-Arab News Channel,TalkTalk TV,Rediffusion,Media of Turkey,State media,Media of Russia,NOS (Portuguese media company),Dubai Media City,BeIN Media Group,GMA Network (company),Lagardère Group,ERTU,Lmao,Rupert Murdoch,Alexander Lebedev,Bauer Media Group,Eurosport,El País,Commercial broadcasting,IHS Markit,European Broadcasting Union,Corriere della Sera,newspaper,media by country,establishments by country and year,government,edition,community,media in europe by country,reporters without borders,broadcast,london,,news,establishments in europe by year,bbc,russian,serve,regional,media,service,radio station,united kingdom,group,establishments by year and country,reference,bbc
kmeans_augmented_c2_g19,2,media,Byron Pitts,Telepictures,CBS,Pluto TV,Bill Weir,Media conglomerate,Logo of NBC,Ben Sherwood,Brent Redstone,Fox Broadcasting Company,Media in Toronto,Travel Channel,NBC chimes,Katie Nolan,CBS Corporation,Shari Redstone,Taft Broadcasting,Ted Turner,Media proprietor,Rogers Communications,Communications in the United States,Nielsen Corporation,Michael Redstone,Inés Sainz,The Globe and Mail,Numeris,Canwest,CNN,YTV (TV channel),Canadian Radio-television and Telecommunications Commission,Baby Powder,,nbc,company,cable television,canada,access,network,media companies of the united states,new york city,offer,platform,television in the united states,marketing,stations,corporation,,programming,canada,television broadcasting companies of the united states,owned,broadcasting,united states,establishments in the united states by year,software,media companies by year of establishment
LDA_c5_g9,5,media,Motion graphic design,Electronic news-gathering,Soul music,DVD recordable,Women in music,Mixtape,8-track tape,Jazz,Acoustics,High-dynamic-range video,Page layout,Typing,Digital audio,MPEG-H,High dynamic range,Kodi (software),Stock sound effect,Satellite,Module file,DTS (sound system),PAL,XAVC,Blu-ray Disc recordable,GNU Health,TiVo,Satellite television,Digital distribution,Digital video recorder,Chroma subsampling,NTSC,Reggae,electronics,standard,video,record,developed,,jazz,audio,,media formats,,video,media technology,system,systems,music,software,,high efficiency video coding,standards,moving picture experts group,use,digital media,uses,dvd
LDA_c3_g20,3,media,Rod Allen,9 to 5: Days in Porn,Film festival,Candy Crush (game show),View of the World from 9th Avenue,Toronto International Film Festival,Hotel Transylvania (franchise),Martin Bashir,Media circus,Nelvana,Street performance,Time Inc.,Film director,Hearst Communications,Rachel Maddow,Wolverine in other media,Maricopa County Sheriff's Office controversies,The Factory,Edward S. Rogers Jr.,Mac n' Cheetos,Directors Guild of America,Terry Moran,Fox Searchlight Pictures,Doctor Doom in other media,Conrad Black,The Walt Disney Company,Life (magazine),Gio Benitez,Andy Warhol,Cynthia McFadden,Matt Shepard (sportscaster),year,award,producer,people,20th-century births,life,,career,the new york times,work,new york city,survivors,film,john,gold ,cnn,years,,abc news,,births by decade,years,series,new_york,worked
LDA_c6_g16,6,media,Maharashtra Times,21st Century Fox,TalkTalk TV,India TV,Univision Deportes Network,DisneyNow,ABP Ananda,RT (TV network),Jeff Rense,Bleach,Al-Arab News Channel,Pluto TV,BBC,Rogers Communications,Religious broadcasting,ABC News,Censorship in Saudi Arabia,Hibu,Deutsche Welle,Blaze Media,Air America (radio network),Station identification,Al Arabiya,Republic TV,BBC News (TV channel),India Today (TV channel),Salem Media Group,Media of the United Kingdom,BitChute,Sky News,Canadian Broadcasting Corporation,,channel,launched,,media companies by year of establishment,news,media companies by country,television by country,united states,television networks by country,,,india,,pay television,service,youtube,tv,television by year,network,programming,cable television,,broadcast,company
LDA_c5_g14,5,media,Satellite television,Avid Technology,Mini CD,Kodi (software),Sampling (music),Europeana,Typing,Reggae,PlayStation,WiDi,Digital video recorder,Sound,High-dynamic-range video,Digital audio,Copy protection,Broadband,Acoustics,Human voice,Satellite,Rock and roll,Audiovisual,Zoo TV Tour,Digital Signature Algorithm,Northern soul,Digital signal processing,Comparison of MIDI editors and sequencers,Digital signage,Cable television,Music,Lip sync,Motion graphic design,high efficiency video coding,video,audio,media technology,electronics,system,,dvd,standard,,record,digital media,standards,software,,,music,video,use,moving picture experts group,uses,systems,jazz,developed,media formats
kmeans_plain_c2_g2,2,media,Silence,Media portrayal of lesbianism,Production coordinator,Grip (job),Max Clifford,Film,Satellite,Celebrity,Script supervisor,Creative director,VidCon,Lighting technician,Lists of celebrities,Monte Lipman,Video art,Jawed Karim,Media portrayal of LGBT people,Terminal 5 (venue),Dolly grip,Soul music,Wilhelm scream,Lip sync,Commercial art,Napster,Vimeo,Rock and roll,Heart (symbol),Travel documentary,Graphic violence,Elijah Daniel,Fucking Machines,production,jazz,fox,abc,years,entertainment,,film,features,programme,filmmaking,arts,screenplay,character,april,film,films,youtube,released,artists,film theory,filmmaking,music,broadcasting,
LDA_c6_g10,6,media,Radio Télévision Libre des Mille Collines,The Times of Israel,NOS (Portuguese media company),The Daily Stormer,The Times of India,Sleeping Giants,ABP News,WarnerMedia,Bauer Media Group,Future plc,Shaw Communications,El Rey Network,Fox Business Network,Al Jazeera,CBS News Sunday Morning,Numeris,Ted Turner,Skai TV,Niconico,BeIN Channels Network,Quiz,Ofcom,InfoWars,HT Media,Tiscali,TV Azteca,YouTube Rewind,E. W. Scripps Company,Business Wire,Sony Ten,IHS Markit,launched,,programming,media companies by country,,television by country,news,network,media companies by year of establishment,channel,tv,,united states,broadcast,,service,,pay television,cable television,india,youtube,television by year,television networks by country,company,
kmeans_augmented_c0_g16,0,media,Mortimer Zuckerman,Newsmax Media,Dumbing down,The Guardian,Propaganda,The Real News,Gonzo journalism,Life (magazine),Media circus,Jeff Rense,Incipit,Ted Koppel,Ed Schultz,Spiral of silence,Plame affair,Anonymous (group),ProPublica,Weekly World News,Amy Goodman,Pat Robertson,Al Jazeera controversies and criticism,Non-denial denial,Inquisitr,Caesar's Messiah,Mac n' Cheetos,Walter Lippmann,VDARE,Pulitzer Prize for Breaking News Photography,Lying press,Cindy Sheehan,Robert Novak,post,states,pulitzer prize,american,propaganda,war,claim,,find,times,describe,journalism,media in the united states,politics of the united states,years,cnn,man,isbn,american journalism,reporting,american journalists,life,,the new york times,new york times
LDA_c2_g28,2,media,Elsevier,Journalism ethics and standards,Media literacy,Buckminster Fuller,Sexuality in music videos,Social media and political communication in the United States,Product placement,Cult of personality,Press release,Churnalism,Media management,Advertising to children,Silence,Media proprietor,Social media in education,Entertainment,Electronic media,Public relations,Lifestreaming,Target audience,Trial balloon,Mass media,Communist propaganda,Graphic violence,Lmao,Adbusters,Mass communication,Publicist,It's OK to be white,Instapundit,Culture of fear,social_media,research,communication studies,,communication,studies,people,,,social,marketing,,references,medium,advertising,,society,mass media,,social sciences,use,behavior,social media,information,communication
LDA_c2_g6,2,media,Digiday,Individuation,Out-of-home advertising,Instapundit,Suspension of disbelief,Target audience,Web content,Media management,Censorship,Cost per mille,Social media mining,LGBT rights in Pakistan,Disinformation,News Feed,Media planning,Communist propaganda,Sound bite,Media bias in the United States,Social peer-to-peer processes,Scandal,Lmao,Message,Documentary film,Creative director,Like button,Graphic communication,Adbusters,Public inquiry,Visual communication,Environmental communication,Conversation,social sciences,,,,references,communication studies,social_media,research,mass media,social media,information,,,studies,behavior,,marketing,advertising,society,communication,communication,use,social,people,medium
kmeans_augmented_c3_g4,3,media,PlayStation,Digital television,Digital Audio Tape,MPEG-H,Avid Technology,Digital audio workstation,Digital signal processing,Digital audio,Camera,Digital distribution,Standard (warez),8-track tape,Copy protection,Video on demand,Acoustics,Digital signal,Mamiya,Digital photography,Digital video,Color television,Sound,Chroma subsampling,Digital signage,360-degree video,Radio,High Efficiency Video Coding,Digital signal processor,High dynamic range,Video CD,Magnetic tape,Mistake,film and video technology,sony,,video,moving picture experts group,media technology,developed,single,electronics,audio,develop,standard,systems,software,video,tape,standards,sensor,dvd,high efficiency video coding,different,uses,,information and communications technology,formats
LDA_c2_g17,2,media,Conversation,Advertising slogan,Mass communication,Study of global communication,Press release,Ideogram,Internet,Health communication,Color theory,Facebook like button,Non-denial denial,International communication,Social peer-to-peer processes,Social media,Concept testing,Satanic panic (South Africa),Lifestreaming,Social media and political communication in the United States,Inoculation theory,Baby Powder,Media (communication),Out-of-home advertising,Target audience,Manuel Castells,Multichannel marketing,Media richness theory,Media bias,Barack Obama on social media,Whataboutism,PolitiFact,Communication,people,social_media,,information,,communication,society,studies,,references,research,behavior,marketing,communication,,communication studies,social media,medium,advertising,social,,mass media,use,social sciences,
kmeans_plain_c5_g14,5,media,A&E Networks,Vivendi,MSNBC,Tamarind,ESPN,Univision Deportes Network,Viacom,Vulcan Inc.,Revolt (TV network),CNBC,Xfinity Streampix,Station identification,American Broadcasting Company,Canadian Radio-television and Telecommunications Commission,YTV (TV channel),Media conglomerate,Advance Publications,News ticker,Rod Allen,Christian Broadcasting Network,Toronto Star,Comcast,Low-power broadcasting,Shari Redstone,David Sarnoff,Cable television,Nielsen Media Research,Time Inc.,Ted Turner,Ben Sherwood,Tribune Media,software,television in the united states,cable television,network,broadcasting,,television broadcasting companies of the united states,programming,platform,owned,canada,,media companies of the united states,stations,marketing,company,access,united states,nbc,offer,new york city,establishments in the united states by year,media companies by year of establishment,canada,cable
kmeans_plain_c3_g6,3,media,Blog,Communication design,Social media and political communication in the United States,History of advertising,Message,Jean Baudrillard,Exhibition,Overchoice,Marshall McLuhan,Social media mining,Demographic profile,Mass communication,Classified advertising,Media buying,Media and gender,News,Social media in education,Conversation,Media relations,Quiz,Self-publishing,Media consumption,Elsevier,Data journalism,Political communication,International communication,Color theory,Lifestreaming,Development communication,Cross-promotion,Publishing,studies,,society,interview,social media,information,,humanities,different,,communication,style,go,come,marketing,advertising,media,communication,form,,communication studies,character,,mass media,social sciences
kmeans_augmented_c6_g7,6,media,Haymarket Media Group,Singapore Press Holdings,European Broadcasting Union,Al Mayadeen,Bonnier Group,Algemeen Dagblad,UBM plc,Al Arabiya,Middle East Broadcasting Center,Country code top-level domain,Anadolu Agency,Bertelsmann,Hibu,Telegraph Media Group,RIA Novosti,Grupo Globo,Reuters Group,Voice of Russia,BeIN Channels Network,Tiscali,Tiscali,Mondo TV,Mega Channel,BBC Sport,CNN International,Al Jazeera Media Network,Bonnier Group,Bell Pottinger,BBC Cymru Wales,Television in Russia,Satellite,media by country,community,media,edition,regional,tv,london,group,establishments by year and country,broadcast,service,bbc,united kingdom,news,radio,establishments by country and year,media in europe by country,establishments in europe by year,serve,newspaper,reporters without borders,reference,bbc,radio station,government
kmeans_plain_c1_g10,1,media,Daily Mirror,Telegraph Media Group,TalkTalk TV,De Telegraaf,Fairfax Media,Pier Silvio Berlusconi,Guardian Media Group,Singapore Press Holdings,Bloomberg L.P.,Television in Russia,Deutsche Welle,Tiscali,Virgin TV,Bell Pottinger,ABS-CBN,ERTU,Bleach,Dentsu Aegis Network,Bonnier Group,WPP plc,Media freedom in Russia,Telewizja Polska,Le Monde,Al Arabiya,Berliner (format),Rupert Murdoch,Virgin Media,Roy Greenslade,Lagardère Group,Corriere della Sera,Eurosport,radio station,serve,edition,reference,media by country,russian,media in europe by country,establishments by country and year,media,bbc,establishments by year and country,regional,news,group,service,reporters without borders,establishments in europe by year,government,bbc,newspaper,,community,broadcast,london,united kingdom
kmeans_augmented_c1_g1,1,media,Culture industry,Media activism,Message,Prosumer,Sponsor (commercial),Europeana,Audience,Media literacy,New media,Influence of mass media,Non-linear media,Advertising slogan,Multimedia,Gatekeeping (communication),Models of communication,Corporate media,Exploitation of women in mass media,Slogan,Quiz,Typewriter,Media relations,New World Information and Communication Order,Audiovisual,Cross-promotion,Information explosion,Media culture,News,Niche blogging,Copywriting,Internet,Political communication,media,information,behavior,society,form,studies,,character,advertising,communication,,different,,communication studies,communication,come,,interview,social media,marketing,,go,style,social sciences,mass media
kmeans_plain_c3_g9,3,media,History of advertising,Advertising campaign,Organization for Transformative Works,Media (communication),Media manipulation,User-generated content,Media psychology,Marketing,Jean Baudrillard,Infotainment,Communication ethics,Political campaign,Communication design,Advertising media selection,Press release,Media management,Typewriter,Information overload,Classified advertising,Media relations,Performance-based advertising,Audience measurement,Copywriting,Typewriter,Audiovisual,Old media,Marshall McLuhan,Media culture,Media planning,Multimedia,Diapers,advertising,social sciences,marketing,go,,,interview,different,humanities,communication studies,,studies,information,society,media,mass media,,communication,style,communication,social media,character,come,form,
LDA_c3_g3,3,media,Cal Thomas,Elm Guest House claims and controversy,John Kluge,"David Thomson, 3rd Baron Thomson of Fleet",5 Gold Rings,Inés Sainz,Media Research Center,Serial (podcast),More Demi Moore,Milk carton kids,Toronto International Film Festival,Kirsty Gallacher,Rachel Maddow,Cross-genre,Gonzo journalism,Time (magazine),Media portrayal of lesbianism,MediaCityUK,Vanilla,Cause célèbre,Reality Winner,Balloon boy hoax,Smoke signal,Cindy Sheehan,Bob Woodruff,Film director,Chris Crocker,Fox Searchlight Pictures,Sports Illustrated,Channel Awesome,Brent Redstone,years,john,20th-century births,,producer,births by decade,series,abc news,worked,gold ,new york city,award,cnn,film,,career,,survivors,the new york times,work,life,years,new_york,people,year
LDA_c6_g46,6,media,Aaj Tak,Google Videos,Federal Communications Commission,Television network,Canwest,Republic TV,Media market,Corus Entertainment,Vice News,Fox Broadcasting Company,Uproxx,Fox Business Network,Mistake,Al Jazeera Media Network,Future plc,Michael Redstone,Bell Pottinger,Beck v. Eiland-Hall,Gujarat Samachar,EMI,Religious broadcasting,Mega Channel,Shaw Communications,CNBC,Web television,Dick Clark Productions,ALTBalaji,Dow Jones & Company,The Daily Stormer,CNBC Awaaz,Times Now,programming,tv,cable television,india,,,,united states,network,channel,launched,service,media companies by year of establishment,company,television networks by country,television by country,pay television,news,broadcast,television by year,media companies by country,,,youtube,
kmeans_plain_c4_g9,4,media,Digital signal processing,Standard (warez),OpenELEC,Mini CD,Video CD,Nikon,8-track tape,Sound,Digital Signature Algorithm,TiVo,Digital television,Digital audio workstation,Radio,Chroma subsampling,Chrominance,XAVC,Television,MiniDVD,Composite video,Spread spectrum,Timecode,Digital audio,Rainbow Books,Digital radio,Satellite,DVD recordable,Copy protection,Video camera,Ultra-high-definition television,Still camera,Digital signage,developed,sensor,optical disc,,media technology,formats,tape,electronics,single,digital media,information and communications technology,standards,develop,dvd,software,audio,standard,video,high efficiency video coding,moving picture experts group,sony,systems,video,introduce,uses
kmeans_plain_c6_g13,6,media,Barack Obama on social media,Pulitzer Prize for Investigative Reporting,Sarah Koenig,Jet (magazine),McClatchy,Seymour Hersh,Media of the United States,Bomis,24-hour news cycle,Newsmax Media,Hustler Magazine v. Falwell,Serial (podcast),Lmao,LiveLeak,Sensationalism,Firing of Shirley Sherrod,Nat Hentoff,Media bias,CNN controversies,J. Walter Thompson,Plame affair,Propaganda,Sean Hannity,Muhammad al-Durrah incident,Echo chamber (media),Caesar's Messiah,Iraq War documents leak,Ars Technica,CNN effect,Conrad Black,Whataboutism,pulitzer prize,abc news,post,politics of the united states,claim,births by decade,reporting,media in the united states,new york times,president,war,cbs,times,the new york times,american,life,propaganda,isbn,,years,msnbc,production,american journalists,states,find
LDA_c2_g21,2,media,Tamarind,Cohen v. California,Inoculation theory,News Feed,Social media analytics,LGBT rights in Pakistan,Like button,Hustler Magazine v. Falwell,Attack ad,Multimedia,Concept testing,Controversy,Information overload,Message,Celebrity,Barack Obama on social media,Journalism,Non-apology apology,Graphic communication,Health communication,Digiday,Culture jamming,Media event,Corporate media,Future Shock,Lying press,Alternative media,Sensationalism,Media consumption,Jean Baudrillard,Barbie Liberation Organization,information,references,behavior,,studies,,use,mass media,communication studies,research,people,marketing,society,,social sciences,,medium,communication,,communication,social,social media,social_media,advertising,
kmeans_plain_c0_g6,0,media,History of newspaper publishing,Newspaper,India Today (TV channel),Anandabazar Patrika,Geo TV,Maharashtra Times,Newspaper circulation,Mahaka Media,India News,The Times Group,Aaj Tak,Prothom Alo,CNBC Awaaz,Mac n' Cheetos,Jalsha Movies,Sun TV Network,Zee Bangla,ABP Group,Dainik Bhaskar,NDTV India,India TV,Hindustan Times,Subhash Chandra,Ei Samay Sangbadpatra,Zee TV,Radia tapes controversy,Zee Entertainment Enterprises,Rajasthan Patrika,ABP Ananda,Gujarat Samachar,Times Now,india,references,mumbai,law,pakistan,english,hindi,hindi,political,delhi,media in india by medium,media in india,news media of india,media companies of india,india,national,indian,editorial,washington post,launched,,media in india by city,,channels,
LDA_c5_g4,5,media,High dynamic range,Video art,Television,Smart TV,Comparison of MIDI editors and sequencers,Kodi (software),MiniDVD,Human voice,Digital signage,Typewriter,Alliance for Open Media,GNU Health,Composite video,WiDi,MPEG-H,High Efficiency Video Coding,Digital distribution,Surround sound,Copy protection,Musical ensemble,Digital video recorder,High-dynamic-range video,XAVC,Broadband,Page layout,Jazz,Quiz,Sampling (music),Video CD,Timecode,TiVo,video,developed,,electronics,standards,standard,video,media technology,system,record,systems,,,dvd,jazz,audio,use,high efficiency video coding,software,media formats,,uses,digital media,music,moving picture experts group
kmeans_augmented_c6_g11,6,media,Telegraph Media Group,Station identification,WPP plc,Radiotelevizija Slovenija,Dentsu Aegis Network,ABS-CBN News Channel,Government gazette,ABS-CBN,Mediaset,Middle-market newspaper,Tamarind,IHS Markit,Bell Pottinger,Independent Press Standards Organisation,Bouygues,MediaCityUK,Mondo TV,Antena 3 (Spain),GMA Network (company),Press Holdings,Virgin TV,Singapore Press Holdings,Le Monde,TNT (Russian TV channel),Tiscali,TalkTalk TV,TNT (Russian TV channel),All-Russia State Television and Radio Broadcasting Company,News agency,Gazprom-Media,Guardian Media Group,establishments by country and year,serve,london,media in europe by country,media,community,service,media by country,radio,news,bbc,establishments by year and country,radio station,united kingdom,reference,establishments in europe by year,regional,reporters without borders,broadcast,tv,bbc,group,edition,newspaper,government
kmeans_plain_c5_g13,5,media,Ziff Davis,Media market,Call sign,Media in Toronto,Cox Media Group,"Kenneth Thomson, 2nd Baron Thomson of Fleet",Criticism of The Walt Disney Company,DuMont Television Network,Bleach,Nielsen Corporation,NBC chimes,Canwest,Lynn Smith,Inés Sainz,Postmedia Network,Crain Communications,Turner Broadcasting System,Matt Shepard (sportscaster),HBO Now,Dow Jones & Company,Michael Redstone,John Kluge,CNN,E!,The Walt Disney Company,"Roy Thomson, 1st Baron Thomson of Fleet",Canadian Broadcasting Corporation,ESPN Inc.,NBCUniversal,Travel Channel,Naming rights,programming,,access,company,cable television,canada,stations,cable,television in the united states,broadcasting,marketing,television broadcasting companies of the united states,canada,offer,owned,establishments in the united states by year,network,platform,software,new york city,nbc,,media companies by year of establishment,united states,media companies of the united states
LDA_c6_g7,6,media,BBC Cymru Wales,Pluto TV,Televisión Española,YouTube,YouTube Rewind 2018: Everyone Controls Rewind,Jeff Rense,NDTV,CNBC,IHS Markit,Hubbard Broadcasting,Telepictures,Radio advertisement,Eurosport,Liberty Media,LiveLeak,ERTU,Televisa,Bloomberg L.P.,Shaw Communications,The Daily Stormer,Telemundo,News Corp (2013–present),Tribune Publishing,Censorship in Saudi Arabia,TalkTalk TV,BBC Store,Donald Trump on social media,USA Today,UBM plc,Turner Broadcasting System,Bleach,media companies by country,media companies by year of establishment,pay television,united states,service,tv,broadcast,channel,,india,television by year,,company,,launched,,cable television,programming,television networks by country,network,,television by country,youtube,,news
kmeans_augmented_c1_g6,1,media,Digital content,Sponsor (commercial),Propaganda techniques,Social media in education,User-generated content,Magazine,Slogan,Social media,Article marketing,Cost per mille,New media,Exploitation of women in mass media,Marshall McLuhan,Satellite,Social media and political communication in the United States,Communication,Page layout,Media event,New World Information and Communication Order,Media manipulation,Advertising to children,News,Social media mining,Lifestreaming,Smoke signal,Facebook like button,Technical writing,Corporate media,Blog,Target audience,Models of communication,social media,different,character,,communication,,communication studies,,style,advertising,form,social sciences,interview,information,media,behavior,marketing,come,,go,communication,mass media,,society,studies
LDA_c2_g32,2,media,Political campaign,The Plot to Hack America,Corporate media,International communication,White propaganda,Media psychology,Study of global communication,Bernie Bro,Mac n' Cheetos,Future Shock,Propaganda techniques,Audience measurement,Fairness and Accuracy in Reporting,Walter Lippmann,United States news media and the Vietnam War,Echo chamber (media),Social media mining,Digital media,Web content,Jean Baudrillard,Visual communication,USC Annenberg School for Communication and Journalism,Political communication,Sound bite,Documentary film,Narrative paradigm,Narcotizing dysfunction,Non-denial denial,Social media,Polandball,Demographic profile,use,marketing,medium,social,references,,information,,communication,communication,communication studies,mass media,research,studies,behavior,social sciences,social_media,people,social media,,,,society,advertising,
LDA_c3_g1,3,media,Charlie Rose,The Washington Post,Muhammad al-Durrah incident,Groucho Club,VDARE,Lists of celebrities,Dan Harris (journalist),Yellow journalism,Alfred Eisenstaedt,Allen & Company,Time Inc.,Plame affair,Rupert Murdoch,Pulitzer Prize for Public Service,Tyler Brûlé,Wolverine in other media,Bloody Saturday (photograph),Lynn Smith,Michael Moore,Mondo TV,Rod Allen,Mistakes were made,Primetime Emmy Award for Outstanding Animated Program,Pulitzer Prize for Breaking News Photography,"Wizard People, Dear Reader",Edward R. Murrow,Willie Gillis,Christopher Hitchens,Quiz,RYOT,Jessica Feshbach,film,award,gold ,work,people,births by decade,john,the new york times,producer,,worked,career,years,new york city,years,abc news,,year,survivors,life,new_york,cnn,series,,20th-century births
kmeans_plain_c2_g5,2,media,Future Shock,Leo Burnett,Nelvana,Film festival,University of the Arts London,Fox Searchlight Pictures,Location manager,The Factory,Mashup (video),Elijah Daniel,Northern soul,History of music,Dannielynn Birkhead paternity case,Camera operator,Street performance,Screen International,Travel documentary,Zoo TV Tour,Best boy,Documentary film,Satellite,Blues,Popular music,Production designer,The Entertainment Capital of the World,Vision (Marvel Comics),Jean Grey in other media,Cross-genre,Media portrayal of LGBT people,Panavision,Napster,entertainment,production,youtube,broadcasting,character,film theory,jazz,filmmaking,,filmmaking,arts,years,april,music,artists,film,features,fox,films,screenplay,abc,,released,film,programme
kmeans_augmented_c1_g3,1,media,Target audience,Visual communication,Advertising media selection,Narrowcasting,Facebook like button,Journalism,Study of global communication,History of advertising,Political campaign,Photography,Cost per mille,Social media analytics,Social media,Media psychology,Multichannel marketing,Content (media),Out-of-home advertising,Social media and political communication in the United States,Communication,Exhibition,Performance-based advertising,Digital content,Color theory,Demographic profile,Smoke signal,Media and gender,Elsevier,Ideogram,Lmao,Social media in education,User-generated content,,interview,style,go,behavior,communication,communication,social sciences,society,advertising,media,social media,marketing,,communication studies,information,mass media,form,come,,,,different,studies,character
kmeans_augmented_c4_g5,4,media,Newspaper,D B Corp Ltd.,News Nation,Geo TV,ABP News,The Times Group,ABP Group,Sahara India Pariwar,Punjab Kesari,Hindustan Times,All India Radio,Star Jalsha,Mahaka Media,Maharashtra Times,Baby Powder,Sun TV Network,The Hindu,Rajasthan Patrika,ABP Ananda,Media of India,Hindustan (newspaper),Times Now,Newspaper circulation,Pakistan Remote Sensing Satellite,CNBC Awaaz,Navbharat Times,Pandit,NDTV India,Media of India,Bartaman,HT Media,india,editorial,,pakistan,washington post,news media of india,hindi,media in india by medium,law,english,mumbai,launched,hindi,,india,media in india,references,national,indian,delhi,channels,media companies of india,,media in india by city,political
LDA_c1_g0,1,media,State media,All-Russia State Television and Radio Broadcasting Company,Independent Press Standards Organisation,RIA Novosti,Media of Turkey,World news,Zee TV,Women in journalism,Grupo Globo,Alexander Lebedev,Media conglomerate,Pakistan Electronic Media Regulatory Authority,Russia Insider,India News,Voice of Russia,Yle,Media portrayal of the Ukrainian crisis,Lmao,Concentration of media ownership,Agence France-Presse,Pier Silvio Berlusconi,Axel Springer SE,Interfax,Zee Entertainment Enterprises,Bertelsmann,Anadolu Agency,Censorship in Turkey,Rossiya Segodnya,Zee Business,Television in Russia,Lists of newspapers,culture by country,media by country,cultural media,reporters without borders,journalists,,russian,academic journal,press,medium,woman,,news_agency,government,freedom house,country,media,,mass media by location,freedom,,sage publications,communications by country,journalist,news agency
kmeans_augmented_c0_g3,0,media,RYOT,Sound bite,Jean Baudrillard,John Stossel,Women in journalism,Culture jamming,White propaganda,Plame affair,Newsmax Media,History of Fox News,Russia Insider,Media Matters for America,Jessica McClure,Matt Drudge,The Daily Stormer,The Japan Times,McClatchy,Misinformation,Common Dreams,Gonzo journalism,Barbie Liberation Organization,Killing Jesus,Tucker Carlson,Echo chamber (media),Henry Luce,Incipit,Censorship in China,The Post and Courier,Vice News,Vanilla,Body worn video,pulitzer prize,man,isbn,propaganda,cnn,times,years,american journalists,media in the united states,find,states,reporting,,american,life,new york times,politics of the united states,describe,,post,claim,journalism,the new york times,american journalism,war
LDA_c2_g33,2,media,Copywriting,Media portrayal of LGBT people,Factoid,Misinformation,Information overload,Internet,Social media analytics,Media consumption,Niche blogging,Organization for Transformative Works,Performance-based advertising,Children's Online Privacy Protection Act,Racial bias in criminal news in the United States,Lmao,Exploitation of women in mass media,Mashup (video),Facebook like button,Individuation,Development communication,Social media and suicide,Barack Obama on social media,Out-of-home advertising,User-generated content,Color theory,Sensationalism,News Feed,Marshall McLuhan,Manuel Castells,Media culture,News,Media planning,communication studies,communication,information,mass media,,social sciences,society,research,,social,communication,,,studies,medium,references,social_media,,people,,use,social media,behavior,marketing,advertising
kmeans_plain_c6_g5,6,media,Spin (propaganda),Jeff Rense,Sarah Koenig,ProPublica,The Young Turks,Freedom of Speech (painting),Racial bias in criminal news in the United States,Anonymous (group),The Japan Times,Seymour Hersh,History of propaganda,Donny Deutsch,Mistakes were made,Satellite,Walter Lippmann,Common Dreams,Misinformation,Lying press,View of the World from 9th Avenue,Maricopa County Sheriff's Office controversies,Conrad Black,Mainstream media,The Times of Israel,Gavin McInnes,Jessica McClure,Controversy,Fresh Air,Cult of personality,Project Chanology,The Village Voice,Gio Benitez,life,isbn,times,states,pulitzer prize,,production,war,msnbc,post,american journalists,cbs,abc news,propaganda,media in the united states,politics of the united states,find,claim,new york times,american,the new york times,reporting,president,births by decade,years
LDA_c2_g2,2,media,Black Legend,Communications management,Publication,Conflict-of-interest editing on Wikipedia,Publicist,Bernie Bro,Organization for Transformative Works,Media studies,CNN effect,Media consumption,Diapers,Journalism,Black propaganda,Content analysis,Bomis,Mashup (video),Internet,Ideogram,Sensationalism,Tokenism,Media event,Spin (propaganda),Graphic violence,Digital content,Propaganda,Priming (media),Hustler Magazine v. Falwell,History of propaganda,Subliminal stimuli,Spiral of silence,Narcotizing dysfunction,use,,,studies,society,research,behavior,mass media,,,references,communication studies,advertising,social sciences,social media,medium,communication,communication,marketing,people,,,information,social_media,social
kmeans_plain_c6_g31,6,media,RYOT,Hustler Magazine v. Falwell,Firing of Shirley Sherrod,Sean Hannity,New Journalism,Freedom of Speech (painting),Muckraker,Radio Télévision Libre des Mille Collines,Jeff Rense,Weekly World News,Factoid,Newsweek,Barbie Liberation Organization,Conrad Black,Censorship in China,Mainstream media,Racial bias in criminal news in the United States,Cindy Sheehan,Maricopa County Sheriff's Office controversies,Cause célèbre,Jessica Feshbach,Martin Bashir,Mistake,Spin (propaganda),24-hour news cycle,Nat Hentoff,Seymour Hersh,Time (magazine),The Washington Post,Inquisitr,Frank Reynolds,abc news,cbs,states,president,american journalists,american,war,propaganda,life,claim,post,isbn,msnbc,pulitzer prize,years,,the new york times,production,new york times,times,politics of the united states,find,reporting,births by decade,media in the united states
