technology_group_id,country,project,technology_article_0,technology_article_1,technology_article_2,technology_article_3,technology_article_4,technology_article_5,technology_article_6,technology_article_7,technology_article_8,technology_article_9,technology_article_10,technology_article_11,technology_article_12,technology_article_13,technology_article_14,technology_article_15,technology_article_16,technology_article_17,technology_article_18,technology_article_19,technology_article_20,technology_article_21,technology_article_22,technology_article_23,technology_article_24,technology_article_25,technology_article_26,technology_article_27,technology_article_28,technology_article_29,technology_article_30,technology_label_0,technology_label_1,technology_label_2,technology_label_3,technology_label_4,technology_label_5,technology_label_6,technology_label_7,technology_label_8,technology_label_9,technology_label_10,technology_label_11,technology_label_12,technology_label_13,technology_label_14,technology_label_15,technology_label_16,technology_label_17,technology_label_18,technology_label_19,technology_label_20,technology_label_21,technology_label_22,technology_label_23,technology_label_24
kmeans_augmented_c4_g3,4,technology,Apple Watch,Overclocking,Hyperledger,TomTom,Serum,Pono (digital music service),Application programming interface,Jawed Karim,Apple File System,Lenticular printing,Planned obsolescence,Qualcomm,BIOS,Television set,SCART,OS X Mavericks,Backward compatibility,MQTT,Smart card,Chief technology officer,Miracast,Vimeo,Bomis,HTTPS,Linux,Supercomputer,Foxconn,Wi-Fi,Citrix Systems,Display resolution,YouTube,technology by year,support,announced,apple inc.,steam,building,phone,wi-fi,smartphone,computer-related introductions by year,unit,company,users,software,google,computers,android,mobile phones,product introductions by year,,motor,android ,released,cut,features
LDA_c2_g1,2,technology,Tesla coil,Powered exoskeleton,Telephone exchange,Electric generator,Arc lamp,Weighing scale,Random-access memory,Anechoic chamber,Three-phase electric power,Flashlight,American wire gauge,Power inverter,Photoresistor,Dynamo,Overhead line,Load cell,Mass flow sensor,Transmitter,VHS,Hard disk drive,LED lamp,Rotary encoder,Analog computer,Ethernet,USB,Yagi–Uda antenna,Strain gauge,Limbo,Inductive charging,Wheatstone bridge,Fresnel lens,signals,,electronics,,signal,light,,electrical components,alternating current,,electromagnetism,electricity,magnetic field,frequency,transistor,electronics,circuit,,voltage,design,devices,electrical engineering,device,power,system
kmeans_augmented_c6_g4,6,technology,Technical drawing tool,Overhead line,Stenotype,Assembly line,Air fryer,Dynamo,Slide rule,Dental braces,Pen,Shelf life,Screen printing,Suspension bridge,Slot machine,Mass production,Refrigerator,Packaging and labeling,Torx,Concrete mixer,Pascal's calculator,Escalator,Bumblebee,Wheel and axle,Crane (machine),Sextant,Thomas Edison,Camping,Edison screw,Offset printing,Glass,Lever,Artificial turf,england,machine,invented,term,,manufactured goods,focus,century,hardlines (retail),paper,communication,,industrial revolution,tools,equipment,references,,history,cast iron,idea,inventions by country,printing,establish,produced,wood
kmeans_augmented_c5_g0,5,technology,Metrology,Nickel–cadmium battery,Arc lamp,Inkjet printing,Scanning electron microscope,Analog signal,Calibration,Plasma display,Schematic,Nanomaterials,LED lamp,Braces,American wire gauge,Electrode,Crystallography,Solar lamp,Geiger counter,Microscope,Resistance thermometer,Thermoelectric generator,Fresnel lens,Micrometer,Lithium-ion battery,Yagi–Uda antenna,Electrochemical cell,Barcode reader,Fluorescence microscope,Beamforming,Chromatography,Compact fluorescent lamp,Power inverter,electronics,voltage,,mill,frequency,image,,magnetic field,space,semiconductor,optical,operation,transistor,measurement,later,electricity,,signal,devices,electrical engineering,optics,bridge,light,,application
LDA_c2_g10,2,technology,Limbo,Compact fluorescent lamp,Anechoic chamber,American wire gauge,Three-phase electric power,Photovoltaic system,Display resolution,Strain gauge,Analog signal,Charge-coupled device,Waveguide,Surface-mount technology,HDMI,Fiber-optic communication,Photovoltaics,Three-phase electric power,Wavelength-division multiplexing,Solenoid,Data transmission,Power electronics,Overclocking,Display device,Electric arc,Mass flow sensor,Yagi–Uda antenna,Street light,Dynamo,Sodium-vapor lamp,Photovoltaics,Traffic light,Instrumentation,magnetic field,devices,electricity,voltage,frequency,light,,alternating current,design,,transistor,power,signals,,circuit,system,electrical components,,electronics,signal,electromagnetism,,device,electrical engineering,electronics
kmeans_augmented_c3_g17,3,technology,Industry,Image,Mass communication,Architectural engineering,TED (conference),Product lifecycle,Electronic engineering,Aerospace engineering,Agricultural engineering,Prototype,Programmer,Smart meter,Braces,Proof of concept,Kardashev scale,Quality management system,Standardization,Global issue,Medical laboratory,Educational technology,Control engineering,Software engineer,Software design,Applied science,Program evaluation and review technique,Recreation,Civil engineering,Media (communication),Traffic collision,Machine,Environmental science,research,sell,science,human,technology,engineering,technology,information,society,number,main topic classifications,app,institute,like,technological change,computer,introduce,innovation,management,information technology,university,,academic disciplines,,technological
kmeans_augmented_c1_g13,1,technology,Machining,Ventricular assist device,Rebar,Centrifugal pump,Particle board,Sintering,Coordinate-measuring machine,Necklace,Thermal insulation,Hydraulic pump,Check valve,O-ring,Lead–acid battery,Wind turbine,Nondestructive testing,Recycling,Sintering,Kevlar,Waste-to-energy,Oxy-fuel welding and cutting,Bioplastic,Submersible pump,Concentrated solar power,Thermosetting polymer,Pressure regulator,Carbon dioxide removal,Abrasive blasting,Reinforced concrete,Carbon dioxide removal,Nonwoven fabric,Thermal expansion valve,metal,processes,battery,pressure,material,chemistry,flow,manufacturing,polymer,industrial processes,,valve,building materials,tube,temperature,output,materials,building engineering,,plastic,water,high,process,electricity,fire
LDA_c1_g24,1,technology,Heat pump,Composting toilet,Cavitation,Absorption refrigerator,Printed circuit board,Wafer (electronics),Electrical discharge machining,Electric arc furnace,Braces,Carbon sequestration,Siphon,Fertilizer,Oil well,Refrigerator,Chemical industry,Refrigeration,Wastewater treatment,Lithium-ion battery,Heat sink,Mushroom cloud,Biodegradable plastic,Bioplastic,Oil refinery,Electric heating,Thermoplastic elastomer,Catheter,Carbon dioxide removal,Thermal expansion valve,Photocopier,Anodizing,Reinforced concrete,paper,chemistry,,,materials,temperature,,materials,metal,produce,,,,material,polymer,surface,manufacturing,plastic,glass,,,process,artificial materials,industrial processes,water
kmeans_augmented_c0_g6,0,technology,Oxygen sensor,Turbocharger,Torque converter,VTEC,Dual-clutch transmission,Vehicle,Differential (mechanical device),Flywheel energy storage,Starter (engine),Gas turbine,Bearing (mechanical),Shock absorber,Diesel engine,Two-stroke engine,Four-stroke engine,Steering,Tractor,Mass flow sensor,Old Town Road,Clutch,Crankshaft,Stirling engine,Spark plug,Forklift,Anti-lock braking system,Cubic centimetre,Governor (device),Power steering,Hydrogen vehicle,Heat engine,Flat engine,vehicle,car,case,volkswagen group,function,speed,approach,value,cars,vehicle technology,crankshaft,motors,cylinder,vehicle parts,vehicles,automobile,element,engine,internal combustion engine,engines,,cylinder ,automotive industry,engines,automotive technologies
kmeans_plain_c6_g22,6,technology,The Lion King,Computer engineering,Analysis paralysis,Analytics,SCADA,Smart grid,Science and technology in the Philippines,Software design,Reliability engineering,Recreation,Software development process,Technological and industrial history of the United States,Knowledge representation and reasoning,"Science, technology, engineering, and mathematics",OCLC,Product lifecycle,Neolithic Revolution,Software testing,Industrial design,Industrial robot,Biometrics,École Polytechnique,Information system,Industry,Biomechanics,Architectural engineering,Artificial intelligence,Transhumanism,Information technology in India,Engineering,Chemical engineering,,subfields by academic discipline,number,,,sell,engineering,like,app,research,human,institute,main topic classifications,information,technology,computer,information technology,technological change,university,management,academic disciplines,technological,innovation,introduce,technology
LDA_c4_g18,4,technology,Ball bearing,Hydrogen vehicle,Centrifugal compressor,Steam turbine,Differential (mechanical device),Anti-lock braking system,Old Town Road,Watt steam engine,Starter (engine),History of the internal combustion engine,Power steering,Reciprocating engine,On-board diagnostics,Radiator (engine cooling),Immobiliser,Bearing (mechanical),Torx,Traffic collision,Sump pump,Pump-jet,Engineering fit,Tractor,Governor (device),Clutch,Vacuum cleaner,Tire-pressure monitoring system,Geothermal power,Automatic transmission,Cummins B Series engine,Motor vehicle,Ackermann steering geometry,power,system,cylinder ,speed,engines,rotating machines,engines,engine,pressure,vehicle technology,car,,machines,vehicle parts,cylinder,automobile,crankshaft,internal combustion engine,,motors,vehicle,valve,,design,cars
kmeans_plain_c4_g12,4,technology,Crossbow,Paper size,Lawn mower,Kiln,Paper,Whale oil,Orthographic projection,Bridge,Crane (machine),Typewriter,Fastener,Vacuum cleaner,Limelight,Eadweard Muybridge,Sports equipment,Mass production,Iron Age,Love lock,Overhead line,Photography,Mortise and tenon,Loader (equipment),Sextant,Benjamin Franklin,Corrugated fiberboard,Old Town Road,Sanitary sewer,Lightning rod,Wrought iron,Pencil,Pulp (paper),tools,establish,idea,inventions by country,paper,focus,communication,inventor,equipment,hardlines (retail),england,,history,produced,term,industrial revolution,,wood,invented,references,machine,manufactured goods,century,,printing
LDA_c4_g4,4,technology,Vehicle,Water turbine,Tachometer,Volkswagen air-cooled engine,Piston,Transport,History of the internal combustion engine,Centrifugal fan,Wind turbine,Engine,Fuel cell vehicle,Manual transmission,Petrol engine,Battery electric vehicle,Bogie,Automotive battery,Centrifugal compressor,Bearing (mechanical),Pressure regulator,Camshaft,Solenoid valve,Wheel and axle,Airbag,Watt steam engine,Internal combustion engine,The Lion King,Radiator (engine cooling),Jet engine,Torque converter,Torx,Gear train,design,rotating machines,vehicle parts,system,power,automobile,speed,car,vehicle technology,,internal combustion engine,,engines,vehicle,cylinder ,engines,cars,crankshaft,machines,pressure,engine,motors,valve,cylinder,
kmeans_plain_c6_g15,6,technology,Structural engineering,Reverse engineering,Six Sigma,Biotechnology,Environmental engineering,Information Age,Control engineering,Project,Information system,Blended learning,Industrial robot,Failure mode and effects analysis,Old Town Road,Robot,Risk assessment,Information management,Medical laboratory,Digital Revolution,Business analytics,Laboratory information management system,Recreation,Electronic engineering,Reliability engineering,IT service management,Chemical engineering,Information technology in India,Software maintenance,Smart meter,Muslim world,Laboratory,Autonomous car,,human,,academic disciplines,information,number,research,computer,management,,main topic classifications,like,sell,subfields by academic discipline,information technology,app,technology,technological,technology,university,introduce,engineering,institute,technological change,innovation
LDA_c4_g6,4,technology,Lawn mower,Radial engine,Ford Model T,Direct-shift gearbox,Flywheel energy storage,Dual-clutch transmission,Hybrid electric vehicle,Stirling engine,Governor (device),Washing machine,Two-stroke engine,Crankshaft,Power station,Audi S and RS models,Recumbent bicycle,Ball bearing,Steam turbine,Limited-slip differential,Air–fuel ratio,Bumblebee,Spark plug,Tire,Inclined plane,Aircraft engine,On-board diagnostics,Flat engine,Check valve,Centrifugal pump,VR6 engine,Carburetor,Gas cylinder,,cars,speed,vehicle parts,car,pressure,motors,system,design,vehicle technology,vehicle,valve,automobile,internal combustion engine,power,machines,rotating machines,,,engines,engine,cylinder,cylinder ,engines,crankshaft
kmeans_plain_c5_g22,5,technology,Oil well,Wind turbine,Composite material,Fuel cell,Dangerous goods,Coolant,Pneumatics,Volatile organic compound,Francis turbine,Hot-melt adhesive,Carbon sequestration,Self-contained breathing apparatus,Nonwoven fabric,Hydraulic pump,Milling (machining),Geothermal power,Reinforced concrete,Recycling,Absorption refrigerator,Arc welding,Engineered wood,Vapor-compression refrigeration,Autoclave,Electric arc furnace,Tensile testing,Nonwoven fabric,Plastic bag,Chemical industry,Vickers hardness test,Rebar,,chemical engineering,flow,chemistry,metal,processes,temperature,,valve,building engineering,plastic,,material,materials,polymer,,process,output,electricity,battery,industrial processes,tube,water,manufacturing,fire,pressure
kmeans_augmented_c5_g9,5,technology,Laser printing,Metrology,Counter (digital),Projector,Beamforming,Angiography,Abdomen,Waveguide,National Institute of Standards and Technology,Surge protector,Passive infrared sensor,Image sensor,Fiber-optic communication,Magnetometer,Schematic,Electronics,Solenoid,OLED,Semiconductor industry,Chromatography,Nickel–metal hydride battery,Alkaline battery,Electrode,Lidar,Thermography,Heat sink,Actuator,Radiography,Fresnel lens,Electric arc,Photovoltaic system,bridge,devices,image,electricity,optical,application,mill,,optics,operation,semiconductor,later,light,,space,signal,,frequency,electrical engineering,measurement,magnetic field,voltage,electronics,,transistor
kmeans_plain_c4_g19,4,technology,Escalator,Offset printing,Wheel,Lightning rod,Fastener,Torx,Catheter,Pulp (paper),Conveyor belt,Artificial turf,Stent,Air fryer,Slide rule,Combine harvester,Limbo,Trebuchet,Stenotype,Canal,Stone tool,World's fair,Open defecation,Wrought iron,Simple machine,Candle,Packaging and labeling,Bronze Age,Sports equipment,Printing,Induction cooking,Second Industrial Revolution,Assembly line,,focus,century,references,industrial revolution,inventor,history,invented,communication,tools,produced,hardlines (retail),,printing,england,paper,inventions by country,equipment,wood,idea,manufactured goods,,establish,machine,term
LDA_c6_g8,6,technology,Loader (equipment),Industrial Revolution,Plotter,Paternoster,Old Town Road,Eadweard Muybridge,Pencil,Wallpaper,Wheel,Samuel Morse,Knot,Mining,Gas lighting,Societal collapse,Petronas Towers,Arcology,Pykrete,Stone tool,Assembly line,Agricultural machinery,Sports equipment,Ruler,Tool,Second Industrial Revolution,Suspension bridge,Mass production,History of technology,Scalpel,Castile soap,Second Industrial Revolution,Backhoe,work,tools,steel,large,early,industrial revolution,works,,construction,century,design,england,machine,equipment,construction,history of technology,machines,kent,history,,iron,mill,hardlines (retail),references,tool
kmeans_augmented_c5_g15,5,technology,Encoder,Surface-mount technology,Tesla coil,Transcranial magnetic stimulation,Inkjet printing,Hall effect sensor,Sensor,Projector,Electrochemical cell,Programmable logic controller,Sodium-vapor lamp,National Institute of Standards and Technology,Lidar,Necklace,Comparator,Nickel–cadmium battery,Solar cell efficiency,Electronic circuit,Metrology,Microscope,Galvanic cell,Printed circuit board,Time-of-flight camera,Electrode,Pulse oximetry,Passive infrared sensor,Radiography,Stereolithography,Strain gauge,Photovoltaics,Thermoelectric generator,operation,,light,frequency,,voltage,later,devices,semiconductor,mill,,bridge,,electrical engineering,signal,magnetic field,transistor,optics,electronics,image,optical,electricity,space,application,measurement
kmeans_plain_c4_g21,4,technology,Bridge,Sailor Moon,History of printing,Mining,Windmill,Flashlight,Robert Fulton,Crane (machine),Street light,Elevator,Dental braces,Food preservation,Vending machine,Pulley,Vise,Mortise and tenon,Kiln,Construction,Lawn mower,Photography,Skeleton key,Glass,Sieve,Sewing machine,Fountain pen,History of books,Breathalyzer,Metallurgy,Monkey wrench,Creosote,Pen,produced,references,wood,manufactured goods,focus,printing,century,inventor,,equipment,paper,communication,term,industrial revolution,history,machine,england,,inventions by country,establish,,invented,hardlines (retail),tools,idea
kmeans_augmented_c2_g4,2,technology,Bomb,Helicopter,Flamethrower,Pitot tube,Little Boy,Railgun,Scramjet,Turbofan,Pitot tube,Flamethrower,Norden bombsight,Thermobaric weapon,Inertial navigation system,Necklace,Trinity (nuclear test),Recoilless rifle,Rifling,Operation Paperclip,Mars Orbiter Mission,Altimeter,Coilgun,Joint Direct Attack Munition,Ship breaking,Harrier Jump Jet,Fat Man,Limpet mine,Thermobaric weapon,Machine pistol,Amundsen–Scott South Pole Station,Gyroscope,Naval mine,military technology,flight,aerospace engineering,ship,navy,radar,aircraft,war,air,weapon,fiber,weapons,,,force,aircraft,world war ii,submarine,military science,,british,part,remove,particle,dry
LDA_c4_g19,4,technology,Carburetor,Centrifugal pump,Cubic centimetre,Hydraulic pump,VTEC,Actuator,Internal combustion engine,Direct-shift gearbox,Solenoid valve,Torque converter,Transport,Aircraft engine,Camshaft,Volkswagen air-cooled engine,Flywheel energy storage,Formula One car,Manual transmission,Vacuum cleaner,Forklift,Tire,Pneumatics,Propeller,Inclined plane,Automotive industry,Simple machine,VTEC,Turbofan,Hydraulic pump,Stirling engine,Gear train,,power,internal combustion engine,vehicle technology,motors,cylinder ,cylinder,cars,engines,vehicle,vehicle parts,engines,,,system,automobile,crankshaft,speed,design,valve,pressure,car,machines,engine,rotating machines,
kmeans_augmented_c4_g25,4,technology,Plotter,Novell,Tim Berners-Lee,Bomis,Magnetic stripe card,Memory card,HBO Go,ITunes,Optical disc,CA Technologies,Vevo,MQTT,Skunkworks project,Network interface controller,Smart TV,Image sensor format,Mojibake,Limbo,PlayStation Vita,Juul,Zune,GSM,History of Google,Michele Romanow,Microprocessor,Hard disk drive,Wired (magazine),Wi-Fi,Avaya,Walkman,Altran,announced,,users,computer-related introductions by year,phone,google,smartphone,cut,android ,computers,steam,wi-fi,support,company,software,unit,released,apple inc.,building,features,mobile phones,motor,technology by year,product introductions by year,android
LDA_c5_g7,5,technology,Aerospace,Rifling,Nuclear reactor,Military,Helicopter,Anti-aircraft warfare,Cinematography,Mars Orbiter Mission,Soviet atomic bomb project,Magnetic resonance imaging,Technology during World War I,Nuclear weapon design,Digital image processing,Sextant,Aerial refueling,Stereoscopy,Scanning electron microscope,Limpet mine,Recoilless rifle,Gun,Hydraulic head,Airship,Image,Maxim gun,Beacon,Unmanned aerial vehicle,Flight instruments,Quantum logic gate,Sailor Moon,Breakwater (structure),Depth charge,sensor,optics,submarine,flight,war,measurement,force,effect,weapons,measuring instruments,,world war ii,radar,design,image,military technology,range,laser,aircraft,,,weapon,united,target,system
LDA_c0_g15,0,technology,Mobile operating system,National Institute of Standards and Technology,Consumer Electronics Show,Global issue,Dell Technologies,Backward compatibility,Semiconductor industry,OS X Yosemite,Hitachi Magic Wand,Linux,GSM,YouTube Premium,Biometric passport,Redmi,HTTP Live Streaming,Single-page application,Xiaomi,Mobile phone tracking,Solid-state drive,Smart card,IPhone SE,IPod Shuffle,Information and communications technology,Sailor Moon,Sony,Financial technology,BIOS,QR code,Android One,Elon Musk,Clarke's three laws,android ,company,smartphone,mobile phones,university,system,united states,computers,services,wi-fi,companies by industry and year of establishment,,computer-related introductions by year,business,apple inc.,research,technology by year,technology,,,service,,,,new
LDA_c6_g0,6,technology,Suspension bridge,Iron Age,Torch,World's fair,Technology,Metal detector,Mortise and tenon,Serum,Monkey wrench,Conveyor belt,Technological and industrial history of the United States,Neolithic Revolution,Dental braces,Milling (machining),Catapult,Thomas Edison,Fountain pen,Compass (drawing tool),Eadweard Muybridge,Kiln,Sports equipment,Barbed wire,Windmill,Fastener,Backhoe,Concertina wire,Vise,Toilet,Pencil,Timeline of historic inventions,Elevator,works,machines,kent,industrial revolution,references,construction,construction,england,tool,century,machine,early,tools,steel,equipment,,history,large,iron,hardlines (retail),history of technology,,design,mill,work
kmeans_plain_c4_g14,4,technology,Invention,Three-age system,Hot air balloon,Mining,Camping,Inclined plane,Construction,History of the firearm,Abacus,Torch,Knot,Laundry,Trebuchet,Simple machine,Papermaking,Tire,Ruler,Photocopier,Paternoster,Oil lamp,Lever,Block and tackle,Dental braces,Vending machine,Industrial Revolution,Glow stick,Textile industry,Limbo,Balloon,Artificial turf,Spinning jenny,printing,focus,england,,invented,references,inventions by country,hardlines (retail),equipment,wood,establish,idea,term,paper,produced,tools,manufactured goods,,inventor,machine,industrial revolution,communication,century,,history
LDA_c0_g25,0,technology,Mojibake,ITunes,Magnetic stripe card,TED (conference),Information and communications technology,Haptic technology,Transport Layer Security,Google Stadia,GSM,Memory card,Information Age,Contactless payment,Silicon Graphics,IPhone X,Limbo,Amlogic,Haptic technology,Citrix Systems,Technological convergence,Science and technology in the Philippines,Multimedia,Microsoft,Information and communication technologies for development,Technological singularity,Biometrics,Computer,École Polytechnique,National Institute of Standards and Technology,Disruptive innovation,Google Play,Foxconn,united states,companies by industry and year of establishment,technology by year,technology,,new,,research,apple inc.,,computer-related introductions by year,service,mobile phones,,university,company,android ,services,system,,smartphone,wi-fi,computers,business,
kmeans_augmented_c4_g19,4,technology,Michele Romanow,History of Google,Web application,Hyper-threading,USB,Desktop computer,Smart card,Sailor Moon,Computer data storage,Apple Watch,Xamarin,Image sensor format,Lenticular printing,GSM,Motorola Mobility,Amlogic,Android One,Graphing calculator,Hewlett Packard Enterprise,Vevo,Altran,Miracast,IPod,Rebel Heart Tour,Chief technology officer,Ben Thompson (writer),Intuit,Silicon Graphics,Supercomputer,Magnetic stripe card,Nexus 6P,software,users,steam,smartphone,announced,apple inc.,support,wi-fi,technology by year,computers,,mobile phones,product introductions by year,computer-related introductions by year,unit,building,motor,phone,company,google,android ,released,android,cut,features
kmeans_plain_c6_g12,6,technology,Public relations,Mechanical engineering,Drake equation,Computer,Graphics,Service-level agreement,Bioinformatics,Nanotechnology,Electrical grid,Old Town Road,Biometrics,Quality management system,"Science, technology, engineering, and mathematics",Hyperloop,Engineering,Gadget,Computer programming,Electronic health record,Prototype,Growth hacking,Kaizen,Traffic collision,History of technology,Innovation,Engineering design process,Software testing,Online advertising,Analysis paralysis,Applications of artificial intelligence,Product lifecycle,Architectural engineering,introduce,institute,information,main topic classifications,engineering,subfields by academic discipline,,academic disciplines,technological,sell,technology,,innovation,university,number,computer,app,human,like,management,technological change,research,,technology,information technology
kmeans_augmented_c4_g15,4,technology,USB,GameCube,Wi-Fi Direct,Sony,Bandwidth (computing),IPod,Miracast,Ringtone,Wireless LAN,QR code,Citrix Systems,IBM System i,Juul,Jawed Karim,Desktop computer,Random-access memory,Hewlett-Packard,BIOS,CA Technologies,Firmware,Multi-core processor,Qualcomm,Altran,GPS navigation device,Bleacher Report,Magic Leap,Sailor Moon,AngelList,Dell,Graphical user interface,Consumer Electronics Show,features,unit,phone,computers,motor,support,smartphone,released,company,google,technology by year,software,cut,users,computer-related introductions by year,wi-fi,,android,product introductions by year,steam,apple inc.,building,announced,mobile phones,android 
kmeans_plain_c2_g8,2,technology,Desktop computer,Smartphone,Silicon Graphics,IPhone SE,Radio-frequency identification,Wi-Fi,IPod Nano,Mobile phone,Haptic technology,Magnetic stripe card,MQTT,IBM Personal Computer,IPod Shuffle,Microsoft,Modem,Smart card,PlayStation,Avaya,History of Google,Hard disk drive,IEEE 802.11ax,Fitbit,Google Nexus,BIOS,Display resolution,Motorola Razr,Google Play,Memory card,World Wide Web,IPhone 6S,Sailor Moon,technology by year,google,,smartphone,mobile phones,cut,motor,android,computers,computer-related introductions by year,software,apple inc.,product introductions by year,android ,steam,company,services,users,phone,wi-fi,unit,released,support,announced,building
LDA_c0_g23,0,technology,E-procurement,Technological unemployment,OS X Mavericks,Apple Watch,Consumer Electronics Show,Whitney Wolfe Herd,Samsung Galaxy J series,History of Google,I Am Rich,Backward compatibility,IPhone SE,Laptop,Rooting (Android),Hewlett Packard Enterprise,Vending machine,Decentralization,YouTube,Memory card,Qualcomm,Altran,Michele Romanow,Oracle Corporation,Xiaomi,Old Town Road,IPod Shuffle,YouTube Premium,Mirai (malware),DXC Technology,TomTom,MacOS High Sierra,Smart meter,business,research,,mobile phones,wi-fi,computers,technology by year,,apple inc.,united states,companies by industry and year of establishment,technology,,computer-related introductions by year,service,system,android ,,university,services,,company,,new,smartphone
kmeans_plain_c0_g10,0,technology,NASA,Aerial refueling,Rifling,Directed-energy weapon,Pitot tube,Unmanned aerial vehicle,Technology during World War I,Electronic warfare,Railgun,Mary Babnik Brown,Avionics,Naval mine,Analog computer,Generation IV reactor,Muzzle brake,Depth charge,Nuclear weapon design,Chaff (countermeasure),Autocannon,The Lion King,Nuclear weapons testing,Operation Paperclip,Recoilless rifle,Torpedo,Project Habakkuk,Bazooka,Fat Man,Limpet mine,Trinity (nuclear test),Gimbal,Altimeter,war,navy,british,radar,force,,dry,flight,submarine,part,,military science,world war ii,weapon,ship,united,particle,fiber,aerospace engineering,,weapons,remove,military technology,aircraft,aircraft
kmeans_augmented_c1_g11,1,technology,Fiberglass,Insecticide,Food irradiation,Plasticizer,Francis turbine,Carbon fiber reinforced polymer,Hydraulic pump,Heat exchanger,Volatile organic compound,Construction,Engineering tolerance,Compressive strength,Solar water heating,Necklace,Water turbine,Sand casting,Electrostatic precipitator,Energy storage,Solar thermal energy,Engineering drawing,Centrifugal fan,Biodegradable plastic,Hot-melt adhesive,Dye penetrant inspection,Milling (machining),Pneumatics,Distillation,Air filter,Submersible pump,Numerical control,Sump pump,,manufacturing,water,pressure,electricity,flow,fire,industrial processes,processes,temperature,process,battery,valve,polymer,metal,plastic,,material,building materials,tube,output,chemistry,building engineering,high,materials
LDA_c0_g1,0,technology,IPod Shuffle,Online advertising,Ringtone,Internet Archive,Hewlett Packard Enterprise,Financial technology,Citrix Systems,OnePlus One,Verizon Wireless,Emerging technologies,Android One,Graphical user interface,Blended learning,Serum,Walkman,Tesla Powerwall,Google Nexus,Anker (electronics),Consumer Electronics Show,Supercomputer,MacOS Sierra,YouTube,FieldTurf,Google Play,DXC Technology,Network interface controller,Optical disc,Electronic Data Systems,Biometric passport,BlackBerry Limited,Geek,companies by industry and year of establishment,mobile phones,,research,new,service,,,apple inc.,,business,technology,services,company,wi-fi,technology by year,computer-related introductions by year,android ,university,,smartphone,united states,,computers,system
LDA_c5_g11,5,technology,Orthographic projection,Thermography,Altimeter,Trinity (nuclear test),Recoilless rifle,Radiography,Joint Direct Attack Munition,Unmanned aerial vehicle,Robotics,Magnetometer,Braces,Electric aircraft,Harrier Jump Jet,Railgun,Theodolite,Booby trap,Hyperspectral imaging,Nuclear reactor,Telescope,Roland Garros (aviator),Aerospace,Lidar,Electronic warfare,Bomb,Atomic clock,Naval mine,Avionics,Soviet atomic bomb project,Rifling,NASA,Quantum logic gate,world war ii,military technology,range,laser,war,radar,weapons,,weapon,force,,optics,design,flight,effect,submarine,,measuring instruments,target,sensor,system,aircraft,measurement,united,image
kmeans_plain_c1_g1,1,technology,Lithium-ion battery,Transcranial magnetic stimulation,Surface-mount technology,Braces,Proximity sensor,Capacitive sensing,Photoresistor,Spectrogram,Night vision,Image sensor,Datasheet,Barcode reader,Magnetic resonance imaging,Schematic,Button cell,Fresnel lens,Biosensor,Counter (digital),Image sensor format,Measuring instrument,Mammography,Hall effect sensor,Cavity magnetron,Time-of-flight camera,Filter (signal processing),Instrumentation,Angiography,Programmable logic controller,Logic gate,Spectroscopy,Yagi–Uda antenna,,signal,later,measurement,frequency,,integrated circuit,electrical engineering,boat,optics,voltage,optical,,image,mill,bridge,light,electricity,application,electron,devices,electronics,space,,magnetic field
kmeans_augmented_c2_g8,2,technology,Pump-jet,Rifling,Military,Depth charge,Old Town Road,Sonar,Joint Direct Attack Munition,Altimeter,Muzzle brake,Turbofan,Avionics,Directed-energy weapon,Gimbal,Coilgun,Railgun,Trinity (nuclear test),Autocannon,Heliograph,Nuclear reactor,Pykrete,Ammunition,Machine pistol,Project Habakkuk,Flamethrower,Bomb,Analog computer,Technology during World War II,Recoilless rifle,Rebreather,Booby trap,Scramjet,remove,flight,particle,dry,,radar,world war ii,war,part,submarine,,aerospace engineering,navy,air,force,aircraft,aircraft,weapon,fiber,ship,british,weapons,,military science,military technology
kmeans_plain_c1_g21,1,technology,Spectroscopy,Transcranial magnetic stimulation,Nickel–cadmium battery,Strain gauge,Fluorescence microscope,Hall effect sensor,Lidar,Programmable logic controller,Laser pointer,Necklace,Printed circuit board,Charge-coupled device,Thermocouple,Capacitive sensing,OLED,Wavelength-division multiplexing,Wheatstone bridge,Flow cytometry,Digital image processing,Alkaline battery,Time-of-flight camera,Sodium-vapor lamp,Plasma display,Solar cell,Beamforming,Electronic circuit,Nanomaterials,Temperature measurement,7 nanometer,Solar lamp,Data transmission,measurement,optical,integrated circuit,,electron,,magnetic field,later,electricity,devices,optics,frequency,electronics,light,,voltage,boat,image,,signal,application,electrical engineering,mill,space,bridge
LDA_c0_g0,0,technology,PlayStation Vita,IPod Classic,IPod,Kara Swisher,NetApp,Huawei EMUI,Elon Musk,Motorola Razr,Firmware,Dell,Google Stadia,ICloud,Windows Phone,Linux,Smart grid,M-Pesa,Barcode,Dell EMC,Hyperledger,SCADA,Backward compatibility,National Institute of Standards and Technology,Graphing calculator,Ben Thompson (writer),Microchip implant (human),Limbo,Active Directory,Educational technology,TED (conference),Pager,Mojibake,mobile phones,,,,service,computer-related introductions by year,system,company,technology by year,,technology,companies by industry and year of establishment,university,android ,apple inc.,smartphone,,,computers,services,new,wi-fi,research,united states,business
